Location,Bees,Bird,Bryophytes,Butterflies,Carabids,Hoverflies,Isopods,Ladybirds,Macromoths,Grasshoppers_._Crickets,Vascular_plants,Easting,Northing,dominantLandClass,ecologicalStatus,period
HU37,0.075268817,0.576631785,0.652564957,0.627777778,0.577167019,0.318107667,0.397590361,0.384615385,0.350393701,0.25,0.584607671,430000,1170000,32s,0.435884104,Y70
HU38,0.080645161,0.559482305,0.667221852,0.638888889,0.528541226,0.296900489,0.397590361,0.384615385,0.354330709,0.25,0.615943846,430000,1180000,32s,0.434014566,Y70
HU42,0.234375,0.573967068,0.670633532,0.50802139,0.574257426,0.405010438,0.458333333,0.6,0.408602151,0.166666667,0.610267734,440000,1120000,31s,0.473648613,Y70
HU43,0.080645161,0.588792156,0.640572951,0.316666667,0.498942918,0.303425775,0.397590361,0.384615385,0.363681102,0.25,0.577086989,440000,1130000,32s,0.400183588,Y70
HU44,0.284946237,0.595317298,0.646902065,0.505555556,0.446088795,0.313213703,0.397590361,0.384615385,0.386318898,0.25,0.581599398,440000,1140000,32s,0.43564979,Y70
HU45,0.075268817,0.585466971,0.648567622,0.327777778,0.570824524,0.319738989,0.397590361,0.384615385,0.355807087,0.25,0.603409376,440000,1150000,32s,0.410824264,Y70
HU46,0.080645161,0.580115502,0.64556962,0.477777778,0.577167019,0.32137031,0.397590361,0.384615385,0.361220472,0.25,0.607671096,440000,1160000,32s,0.425794791,Y70
HU47,0.21875,0.544391898,0.680784039,0.49197861,0.530693069,0.354906054,0.416666667,0.6,0.41426146,0.166666667,0.66519459,440000,1170000,31s,0.462208459,Y70
HU56,0.075268817,0.575426139,0.640572951,0.511111111,0.602536998,0.313213703,0.397590361,0.384615385,0.345472441,0.25,0.598896967,450000,1160000,32s,0.426791352,Y70
HU58,0.075268817,0.569472513,0.637241839,0.505555556,0.587737844,0.30995106,0.397590361,0.384615385,0.351377953,0.25,0.59739283,450000,1180000,32s,0.424200378,Y70
HU59,0.21875,0.576913193,0.668533427,0.529411765,0.544554455,0.377870564,0.458333333,0.6,0.397849462,0.166666667,0.652221916,450000,1190000,31s,0.471918616,Y70
HU69,0.21875,0.585326339,0.677983899,0.609625668,0.508910891,0.382045929,0.458333333,0.6,0.394453877,0.166666667,0.631244825,460000,1190000,31s,0.475758312,Y70
HY10,0.5,0.663279418,0.957647882,0.465240642,0.451485149,0.423799582,0.430555556,0.28,0.666666667,0.645833333,0.95942589,310000,1000000,31s,0.585812193,Y70
HY20,0.671875,0.836613281,0.987049352,0.582887701,0.704950495,0.532359081,0.694444444,0.6,0.86361064,0.854166667,0.890422302,320000,1000000,31s,0.74712536,Y70
HY21,0.6875,0.77140643,0.679033952,0.647058824,0.720792079,0.538622129,0.611111111,0.6,0.842671194,0.729166667,0.764007728,320000,1010000,31s,0.690124556,Y70
HY22,0.6875,0.784747447,0.669933497,0.652406417,0.716831683,0.530271399,0.666666667,0.6,0.846632711,0.770833333,0.760143527,320000,1020000,31s,0.698724244,Y70
HY30,0.6875,0.821963465,0.884494225,0.663101604,0.722772277,0.540709812,0.75,0.6,0.912280702,0.770833333,0.856748551,330000,1000000,31s,0.746400361,Y70
HY31,0.6875,0.812926387,0.710535527,0.727272727,0.714851485,0.528183716,0.722222222,0.6,0.907753254,0.791666667,0.772840188,330000,1010000,31s,0.725068379,Y70
HY32,0.6875,0.816614341,0.824291215,0.663101604,0.724752475,0.530271399,0.680555556,0.6,0.898698359,0.791666667,0.830527187,330000,1020000,31s,0.731634437,Y70
HY33,0.703125,0.769171667,0.719635982,0.609625668,0.718811881,0.530271399,0.625,0.6,0.79852858,0.645833333,0.764835771,330000,1030000,31s,0.680439935,Y70
HY40,0.6875,0.78303064,0.687084354,0.695187166,0.730693069,0.544885177,0.722222222,0.6,0.861912847,0.708333333,0.772564173,340000,1000000,31s,0.708492089,Y70
HY41,0.6875,0.78508392,0.675883794,0.663101604,0.716831683,0.536534447,0.680555556,0.6,0.850594228,0.8125,0.763731714,340000,1010000,31s,0.706574268,Y70
HY42,0.6875,0.764327253,0.739936997,0.657754011,0.726732673,0.532359081,0.611111111,0.6,0.826825127,0.729166667,0.775876346,340000,1020000,31s,0.695599024,Y70
HY43,0.6875,0.811487766,0.716135807,0.663101604,0.734653465,0.534446764,0.666666667,0.6,0.907187323,0.770833333,0.770356059,340000,1030000,31s,0.714760799,Y70
HY44,0.703125,0.739566029,0.681134057,0.620320856,0.576237624,0.463465553,0.513888889,0.6,0.602150538,0.729166667,0.762351642,340000,1040000,31s,0.635582441,Y70
HY45,0.703125,0.714971718,0.679733987,0.689839572,0.58019802,0.402922756,0.652777778,0.6,0.490662139,0.5,0.756831355,340000,1050000,31s,0.61555112,Y70
HY50,0.6875,0.757354052,0.679383969,0.668449198,0.724752475,0.538622129,0.611111111,0.6,0.870401811,0.791666667,0.770080044,350000,1000000,31s,0.699938314,Y70
HY51,0.6875,0.73683583,0.675883794,0.689839572,0.716831683,0.51565762,0.583333333,0.6,0.754385965,0.75,0.764007728,350000,1010000,31s,0.679479593,Y70
HY52,0.578125,0.555895561,0.669233462,0.604278075,0.693069307,0.446764092,0.569444444,0.6,0.888511602,0.770833333,0.759867513,350000,1020000,31s,0.648729308,Y70
HY53,0.71875,0.708884738,0.711235562,0.64171123,0.635643564,0.432150313,0.486111111,0.6,0.49688738,0.6875,0.781672647,350000,1030000,31s,0.627322413,Y70
HY54,0.9375,0.71099233,0.677633882,0.962566845,1,1,0.541666667,1,0.943972835,0.625,0.759591499,350000,1040000,31s,0.83262946,Y70
HY60,0.625,0.592365775,0.658382919,0.636363636,0.574257426,0.402922756,0.430555556,0.6,0.428409734,0.583333333,0.803201766,360000,1000000,31s,0.575890264,Y70
HY61,0.609375,0.612336897,0.674133707,1,0.693069307,0.356993737,0.486111111,0.8,0.823429542,1,0.764283743,360000,1010000,31s,0.710884822,Y70
HY62,0.6875,0.735117699,0.664683234,0.673796791,0.60990099,0.450939457,0.513888889,0.6,0.730050934,0.770833333,0.763179685,360000,1020000,31s,0.654535547,Y70
HY63,0.671875,0.729220151,0.665033252,0.684491979,0.635643564,0.4217119,0.694444444,0.6,0.748160724,0.583333333,0.759591499,360000,1030000,31s,0.653955077,Y70
HY64,0.6875,0.716762707,0.673433672,0.64171123,0.556435644,0.457202505,0.527777778,0.6,0.536502547,0.729166667,0.757659398,360000,1040000,31s,0.625832013,Y70
HY73,0.609375,0.583722132,0.697234862,0.978609626,0.63960396,0.334029228,0.458333333,0.88,0.76910017,0.854166667,0.793817278,370000,1030000,31s,0.690726569,Y70
HY74,0.6875,0.701520751,0.662933147,0.663101604,0.568316832,0.39874739,0.458333333,0.6,0.560271647,0.708333333,0.759591499,370000,1040000,31s,0.615331776,Y70
HY75,0.703125,0.694915816,0.654882744,0.705882353,0.556435644,0.417536534,0.5,0.6,0.50877193,0.729166667,0.749654982,370000,1050000,31s,0.620033788,Y70
NA91,0.25,0.582794669,0.93091145,0.461187215,0.598848369,0.281954887,0.680412371,0.112903226,0.357726901,0.319148936,0.87589224,90000,910000,30s,0.495616388,Y70
NB00,0.137096774,0.524735274,0.798394566,0.419213974,0.542009885,0.171428571,0.55,0.076086957,0.324167312,0.333333333,0.922452875,100000,900000,29s,0.436265411,Y70
NB03,0.225806452,0.729567633,0.798134577,0.572222222,0.640591966,0.239804241,0.674698795,0.179487179,0.428149606,0.4375,0.920782151,100000,930000,32s,0.531522257,Y70
NB13,0.177419355,0.559221581,0.741278172,0.467248908,0.495881384,0.161038961,0.314285714,0.163043478,0.343919442,0.333333333,0.873299928,110000,930000,29s,0.420906387,Y70
NB24,0.252688172,0.705534647,0.786808794,0.905555556,0.608879493,0.293637847,0.493975904,0.358974359,0.590551181,0.71875,0.875908749,120000,940000,32s,0.599205882,Y70
NB31,0.231182796,0.612858447,0.808794137,0.85,0.697674419,0.323001631,0.56626506,0.179487179,0.545275591,0.5625,0.892955628,130000,910000,32s,0.569999535,Y70
NB54,0.301075269,0.698809674,0.782811459,0.816666667,0.581395349,0.272430669,0.469879518,0.179487179,0.423720472,0.53125,0.83003259,150000,940000,32s,0.535232622,Y70
NB56,0.252688172,0.666851399,0.781479014,0.788888889,0.498942918,0.265905383,0.457831325,0.384615385,0.436023622,0.5,0.838806718,150000,960000,32s,0.533821166,Y70
NC01,0.258064516,0.801341663,0.890707008,0.76419214,0.723228995,0.723376623,0.292857143,0.25,0.755228505,0.4375,0.756144118,200000,910000,29s,0.604785519,Y70
NC02,0.365591398,0.994864348,0.959027315,0.938888889,0.989429175,1,0.506024096,0.717948718,0.962598425,0.625,0.799448483,200000,920000,32s,0.80534735,Y70
NC03,0.254032258,0.79662351,0.880209941,0.711790393,0.698517298,0.709090909,0.292857143,0.25,0.755228505,0.479166667,0.775471248,200000,930000,29s,0.600271625,Y70
NC12,0.262548263,0.738918341,0.939304462,0.730769231,0.685483871,0.815165877,0.341666667,0.209090909,0.734244495,0.411764706,0.678782756,210000,920000,28s,0.595249052,Y70
NC13,0.27016129,0.810478022,0.875578882,0.716157205,0.733113674,0.864935065,0.3,0.282608696,0.754453912,0.416666667,0.775709854,210000,930000,29s,0.618169388,Y70
NC14,0.322580645,0.990941003,0.926382412,0.872222222,0.868921776,0.712887439,0.493975904,0.564102564,0.958661417,0.90625,0.817748809,210000,940000,32s,0.766788563,Y70
NC16,0.703125,0.747622832,0.799439972,0.844919786,0.730693069,0.54697286,0.5,0.28,0.611205433,0.520833333,0.885178029,210000,960000,31s,0.651817301,Y70
NC20,0.302631579,0.666557075,0.790916881,0.738738739,0.589001447,0.792391304,0.541666667,0.081632653,0.511303693,0.534883721,0.760869565,220000,900000,21s,0.573690302,Y70
NC21,0.333333333,0.719784435,0.856898029,0.774774775,0.604920405,0.729347826,0.569444444,0.255102041,0.66729465,0.511627907,0.805370844,220000,910000,21s,0.620718063,Y70
NC23,0.324561404,0.758058424,0.803199086,0.734234234,0.632416787,0.681521739,0.583333333,0.265306122,0.726450641,0.488372093,0.834526854,220000,930000,21s,0.621089156,Y70
NC30,0.359649123,0.708576323,0.759497286,0.72972973,0.552821997,0.818478261,0.541666667,0.081632653,0.62170309,0.558139535,0.816368286,230000,900000,21s,0.595296632,Y70
NC32,0.201754386,0.597669853,0.841759497,0.563063063,0.479015919,0.430434783,0.527777778,0.071428571,0.461190656,0.372093023,0.806138107,230000,920000,21s,0.486575058,Y70
NC33,0.166666667,0.639868916,0.835761211,0.5,0.489146165,0.476086957,0.569444444,0.091836735,0.512810852,0.488372093,0.823529412,230000,930000,21s,0.508502132,Y70
NC34,0.162280702,0.623321683,0.832333619,0.45045045,0.465991317,0.430434783,0.555555556,0.153061224,0.480030143,0.395348837,0.813810742,230000,940000,21s,0.487510823,Y70
NC35,0.153508772,0.658293035,0.826906598,0.554054054,0.477568741,0.476086957,0.555555556,0.091836735,0.477769405,0.488372093,0.810741688,230000,950000,21s,0.506426694,Y70
NC36,0.274193548,0.983465999,0.869420386,0.916666667,0.906976744,0.530179445,0.481927711,0.512820513,0.886318898,0.90625,0.819503635,230000,960000,32s,0.735247595,Y70
NC40,0.359649123,0.760104484,0.786346758,0.662162162,0.587554269,0.808695652,0.555555556,0.102040816,0.737754333,0.558139535,0.814578005,240000,900000,21s,0.61205279,Y70
NC41,0.175438596,0.64611988,0.806341045,0.563063063,0.528219971,0.50326087,0.416666667,0.081632653,0.492840995,0.418604651,0.780818414,240000,910000,21s,0.492091528,Y70
NC43,0.166666667,0.616511058,0.826906598,0.5,0.454413893,0.417391304,0.569444444,0.071428571,0.466088922,0.441860465,0.799488491,240000,930000,21s,0.484563674,Y70
NC44,0.157894737,0.668253082,0.823764639,0.635135135,0.458755427,0.502173913,0.569444444,0.081632653,0.491333836,0.511627907,0.802813299,240000,940000,21s,0.518439007,Y70
NC50,0.335907336,0.78725058,0.874343832,0.632478632,0.448387097,0.924170616,0.333333333,0.072727273,0.690584662,0.450980392,0.698858833,250000,900000,28s,0.568092962,Y70
NC51,0.088803089,0.720679444,0.872047244,0.555555556,0.364516129,0.876777251,0.283333333,0.118181818,0.444950645,0.431372549,0.706889265,250000,910000,28s,0.496646029,Y70
NC52,0.171052632,0.646401839,0.666095401,0.518018018,0.460202605,0.42826087,0.513888889,0.071428571,0.475131876,0.511627907,0.776214834,250000,920000,21s,0.476211222,Y70
NC54,0.114035088,0.677819451,0.809483005,0.481981982,0.437047757,0.469565217,0.569444444,0.102040816,0.37905049,0.488372093,0.804092072,250000,940000,21s,0.484812038,Y70
NC55,0.254385965,0.830591953,0.7246501,0.666666667,0.445730825,0.640217391,0.555555556,0.102040816,0.474001507,0.511627907,0.821994885,250000,950000,21s,0.547951234,Y70
NC56,1,1,0.834441722,0.844919786,0.817821782,0.661795407,0.569444444,0.36,0.925297114,0.604166667,0.864752967,250000,960000,31s,0.771149081,Y70
NC60,0.227799228,0.784290373,0.875984252,0.551282051,0.401612903,0.926540284,0.333333333,0.063636364,0.666287016,0.529411765,0.682375317,260000,900000,28s,0.54932299,Y70
NC61,0.157894737,0.645631507,0.75235647,0.558558559,0.266280753,0.489130435,0.472222222,0.071428571,0.291635268,0.558139535,0.781074169,260000,910000,21s,0.458577475,Y70
NC62,0.157894737,0.618028313,0.762353613,0.477477477,0.248914616,0.392391304,0.472222222,0.071428571,0.243782969,0.534883721,0.775703325,260000,920000,21s,0.432280079,Y70
NC63,0.109649123,0.699298296,0.802342188,0.522522523,0.260492041,0.432608696,0.458333333,0.153061224,0.33345893,0.465116279,0.847570332,260000,930000,21s,0.462222997,Y70
NC65,0.088803089,0.691587503,0.833661417,0.482905983,0.433870968,0.510663507,0.35,0.063636364,0.332953683,0.607843137,0.699070161,260000,950000,28s,0.463181437,Y70
NC66,0.890625,0.995957027,0.95939797,0.807486631,0.803960396,0.611691023,0.597222222,0.28,0.91737408,0.625,1,260000,960000,31s,0.771701304,Y70
NC70,0.316602317,0.835794411,0.913057743,0.752136752,0.512903226,0.95971564,0.358333333,0.063636364,0.689066059,0.568627451,0.705832629,270000,900000,28s,0.606882357,Y70
NC72,0.135964912,0.578416883,0.682947729,0.463963964,0.198263386,0.389130435,0.444444444,0.071428571,0.237377543,0.534883721,0.757289003,270000,920000,21s,0.408555508,Y70
NC73,0.096525097,0.613531686,0.800524934,0.465811966,0.274193548,0.454976303,0.283333333,0.063636364,0.290812453,0.470588235,0.672020287,270000,930000,28s,0.407814019,Y70
NC74,0.11969112,0.766317538,0.826115486,0.585470085,0.517741935,0.909952607,0.341666667,0.063636364,0.433561124,0.490196078,0.6534235,270000,940000,28s,0.518888409,Y70
NC76,0.123552124,0.79639831,0.857283465,0.611111111,0.658064516,0.312796209,0.383333333,0.063636364,0.604024298,0.607843137,0.731403212,270000,960000,28s,0.522676916,Y70
NC80,0.228070175,0.752903373,0.784918595,0.45045045,0.377713459,0.680434783,0.597222222,0.081632653,0.675584024,0.465116279,0.861892583,280000,900000,21s,0.541448963,Y70
NC81,0.179824561,0.660712557,0.775207084,0.630630631,0.426917511,0.830434783,0.513888889,0.12244898,0.523737754,0.372093023,0.792327366,280000,910000,21s,0.529838467,Y70
NC82,0.115830116,0.60992413,0.914041995,0.487179487,0.319354839,0.45971564,0.216666667,0.072727273,0.312072893,0.470588235,0.670752325,280000,920000,28s,0.422623054,Y70
NC83,0.092664093,0.630040129,0.806430446,0.457264957,0.279032258,0.436018957,0.291666667,0.063636364,0.265375854,0.450980392,0.661453931,280000,930000,28s,0.403142186,Y70
NC84,0.115830116,0.670595802,0.75,0.564102564,0.435483871,0.495260664,0.3,0.063636364,0.376993166,0.450980392,0.642434489,280000,940000,28s,0.442301584,Y70
NC85,0.131274131,0.649831406,0.76312336,0.551282051,0.479032258,0.700236967,0.475,0.063636364,0.47911921,0.529411765,0.649196957,280000,950000,28s,0.49737677,Y70
NC86,0.108108108,0.799658099,0.771981627,0.542735043,0.709677419,0.309241706,0.441666667,0.072727273,0.632877752,0.647058824,0.672231615,280000,960000,28s,0.51890583,Y70
NC90,1,1,0.843104597,1,0.625792812,0.985318108,0.674698795,0.717948718,0.886318898,0.9375,0.958886939,290000,900000,32s,0.875415351,Y70
NC91,0.5,0.828806571,0.776349614,0.797297297,0.429811867,0.767391304,0.833333333,0.091836735,0.648455162,0.697674419,0.859335038,290000,910000,21s,0.657299213,Y70
NC92,0.157894737,0.633912678,0.776063982,0.572072072,0.403762663,0.702173913,0.694444444,0.081632653,0.436322532,0.441860465,0.810997442,290000,920000,21s,0.519194326,Y70
NC93,0.127192982,0.607612876,0.673521851,0.554054054,0.340086831,0.680434783,0.430555556,0.071428571,0.382818387,0.488372093,0.765217391,290000,930000,21s,0.465572307,Y70
NC94,0.115830116,0.614087903,0.758530184,0.504273504,0.383870968,0.699052133,0.283333333,0.063636364,0.36332574,0.392156863,0.638207946,290000,940000,28s,0.437845914,Y70
NC95,0.127413127,0.632017791,0.788057743,0.547008547,0.416129032,0.545023697,0.291666667,0.072727273,0.441154138,0.529411765,0.640743872,290000,950000,28s,0.457395786,Y70
NC96,0.142857143,0.798945806,0.792979003,0.61965812,0.712903226,0.329383886,0.583333333,0.190909091,0.670083523,0.68627451,0.70350803,290000,960000,28s,0.566439606,Y70
ND01,0.701754386,0.818746509,0.716652385,0.788288288,0.445730825,0.792391304,0.861111111,0.653061224,0.63564431,0.697674419,0.872890026,300000,910000,21s,0.725813163,Y70
ND02,0.122807018,0.701916785,0.689517281,0.567567568,0.345875543,0.635869565,0.833333333,0.071428571,0.540316503,0.511627907,0.790025575,300000,920000,21s,0.528207786,Y70
ND03,0.11969112,0.628053041,0.773293963,0.517094017,0.4,0.539099526,0.525,0.063636364,0.553910402,0.411764706,0.636517329,300000,930000,28s,0.469823679,Y70
ND04,0.146718147,0.635126741,0.739173228,0.606837607,0.432258065,0.569905213,0.583333333,0.2,0.551252847,0.450980392,0.63567202,300000,940000,28s,0.504659781,Y70
ND05,0.166023166,0.7334892,0.763779528,0.615384615,0.443548387,0.336492891,0.55,0.190909091,0.615034169,0.588235294,0.660397295,300000,950000,28s,0.514844876,Y70
ND06,0.158301158,0.770332568,0.646981627,0.61965812,0.691935484,0.321090047,0.591666667,0.172727273,0.660212604,0.68627451,0.609256128,300000,960000,28s,0.538948744,Y70
ND07,0.671875,0.83818967,0.695484774,0.663101604,0.762376238,0.565762004,0.986111111,0.6,0.986417657,0.645833333,0.791057135,300000,970000,31s,0.746018957,Y70
ND12,0.038314176,0.814264023,0.795576408,0.833333333,0.375714286,0.723529412,0.460526316,0.242424242,0.632036267,0.62745098,0.706787521,310000,920000,25s,0.568177906,Y70
ND13,0.040816327,0.814582541,0.810281924,0.590517241,0.391437309,0.907360406,0.475862069,0.079207921,0.626701967,0.622641509,0.713349355,310000,930000,27s,0.552068961,Y70
ND14,0.185328185,0.711083388,0.772637795,0.58974359,0.475806452,0.331753555,0.558333333,0.2,0.619969628,0.647058824,0.639898563,310000,940000,28s,0.521055756,Y70
ND15,0.158301158,0.740939997,0.668635171,0.628205128,0.490322581,0.283175355,0.6,0.154545455,0.642748671,0.607843137,0.633347422,310000,950000,28s,0.509824007,Y70
ND16,0.162162162,0.771647168,0.632874016,0.64957265,0.580645161,0.329383886,0.616666667,0.181818182,0.66856492,0.68627451,0.611580727,310000,960000,28s,0.535562732,Y70
ND17,0.609375,0.872593358,0.825341267,0.636363636,0.823762376,0.563674322,0.777777778,0.6,1,0.916666667,0.837427546,310000,970000,31s,0.769361995,Y70
ND23,0.157088123,0.811515587,0.701072386,0.644736842,0.397142857,0.267058824,0.453947368,0.191919192,0.646769928,0.705882353,0.689080944,320000,930000,25s,0.5151104,Y70
ND24,0.191836735,0.64052513,0.701160862,0.521551724,0.5,0.302030457,0.434482759,0.148514851,0.566565809,0.471698113,0.665719904,320000,940000,27s,0.467644213,Y70
ND25,0.16091954,0.791919137,0.692024129,0.653508772,0.464285714,0.314117647,0.467105263,0.161616162,0.649414431,0.647058824,0.632166948,320000,950000,25s,0.512194233,Y70
ND26,0.164750958,0.759379711,0.664209115,0.587719298,0.461428571,0.298823529,0.473684211,0.151515152,0.634302985,0.62745098,0.609401349,320000,960000,25s,0.493878714,Y70
ND27,0.168582375,0.740410347,0.711796247,0.583333333,0.524285714,0.329411765,0.467105263,0.151515152,0.659992444,0.62745098,0.647554806,320000,970000,25s,0.510130766,Y70
ND29,0.703125,0.795404628,0.962548127,0.593582888,0.744554455,0.51565762,0.513888889,0.6,0.848896435,0.875,0.950593431,320000,990000,31s,0.736659225,Y70
ND33,0.130612245,0.590700982,0.67628524,0.590517241,0.496941896,0.289340102,0.448275862,0.148514851,0.600605144,0.641509434,0.706139393,330000,930000,27s,0.483585672,Y70
ND34,0.16091954,0.79570687,0.711461126,0.662280702,0.471428571,0.328235294,0.453947368,0.151515152,0.669437099,0.68627451,0.657251265,330000,940000,25s,0.522587045,Y70
ND35,0.16091954,0.779177881,0.660187668,0.605263158,0.474285714,0.32,0.473684211,0.151515152,0.642236494,0.62745098,0.627107926,330000,950000,25s,0.501984429,Y70
ND36,0.179591837,0.730778155,0.732669983,0.573275862,0.536697248,0.319796954,0.496551724,0.148514851,0.660741301,0.603773585,0.663972034,330000,960000,27s,0.513305776,Y70
ND37,0.6875,0.868060247,0.784389219,0.705882353,0.728712871,0.538622129,1,0.6,0.987549519,0.6875,0.865857025,330000,970000,31s,0.768552124,Y70
ND38,0.65625,0.66449284,0.675533777,0.636363636,0.669306931,0.465553236,0.527777778,0.6,0.63327674,0.791666667,0.781948661,330000,980000,31s,0.645651842,Y70
ND39,0.6875,0.799189286,0.754287714,0.647058824,0.734653465,0.538622129,0.847222222,0.6,0.88737974,0.854166667,0.823350814,330000,990000,31s,0.743039169,Y70
ND47,0.625,0.635949609,0.705985299,0.609625668,0.643564356,0.415448852,0.763888889,0.6,0.548387097,0.645833333,0.801269666,340000,970000,31s,0.635904797,Y70
ND48,0.6875,0.778410099,0.693384669,0.64171123,0.730693069,0.532359081,0.902777778,0.6,0.897000566,0.708333333,0.784156776,340000,980000,31s,0.723302418,Y70
ND49,0.6875,0.791038429,0.673083654,0.668449198,0.740594059,0.551148225,0.736111111,0.6,0.916808149,0.791666667,0.775876346,340000,990000,31s,0.721115985,Y70
NF60,0.385714286,0.618342567,0.993837172,0.753424658,0.750479846,0.530075188,0.835051546,0.387096774,0.700735895,0.574468085,0.898457288,60000,800000,30s,0.675243937,Y70
NF66,0.133064516,0.419606937,0.831120716,0.441048035,0.429983526,0.235064935,0.278571429,0.076086957,0.247482572,0.375,0.924361728,60000,860000,29s,0.399217395,Y70
NF67,0.321428571,0.648045804,0.871553681,0.538812785,0.690978887,0.533834586,0.721649485,0.112903226,0.346688471,0.361702128,0.886253742,60000,870000,30s,0.548531942,Y70
NF70,0.442857143,0.633037391,0.989944859,0.730593607,0.783109405,0.580827068,0.783505155,0.564516129,0.731398201,0.595744681,0.905595211,70000,800000,30s,0.703738986,Y70
NF71,0.342857143,0.611387421,0.991891015,0.744292237,0.738963532,0.533834586,0.855670103,0.435483871,0.660261652,0.531914894,0.91503569,70000,810000,30s,0.669235649,Y70
NF72,0.335714286,0.629798101,0.908855011,0.726027397,0.731285988,0.531954887,0.855670103,0.129032258,0.621422731,0.510638298,0.897075754,70000,820000,30s,0.625224983,Y70
NF73,0.35,0.635474165,0.922478106,0.726027397,0.765834933,0.54887218,0.87628866,0.112903226,0.649223222,0.489361702,0.91503569,70000,830000,30s,0.635590844,Y70
NF74,0.328571429,0.615339311,0.933506325,0.639269406,0.744721689,0.539473684,0.835051546,0.112903226,0.484873262,0.446808511,0.924245913,70000,840000,30s,0.600433118,Y70
NF75,0.247311828,0.753376808,0.949033977,0.711111111,0.794926004,0.463295269,0.951807229,0.179487179,0.512795276,0.625,0.986212083,70000,850000,32s,0.652214251,Y70
NF76,0.321428571,0.637517548,0.887122932,0.529680365,0.710172745,0.535714286,0.742268041,0.112903226,0.384300899,0.382978723,0.903983422,70000,860000,30s,0.558915524,Y70
NF77,0.314285714,0.653612843,0.886149854,0.552511416,0.696737044,0.528195489,0.721649485,0.112903226,0.374897792,0.361702128,0.909049044,70000,870000,30s,0.555608549,Y70
NF80,0.421428571,0.349942284,0.915342199,0.730593607,0.714011516,0.518796992,0.865979381,0.35483871,0.73630417,0.659574468,0.833755469,80000,800000,30s,0.645506124,Y70
NF81,0.364285714,0.470538979,0.968861499,0.552511416,0.754318618,0.678571429,0.577319588,0.112903226,0.750613246,0.595744681,0.904904444,80000,810000,30s,0.611870258,Y70
NF82,0.192857143,0.379747803,0.986701265,0.538812785,0.568138196,0.336466165,0.546391753,0.129032258,0.702780049,0.574468085,0.900299332,80000,820000,30s,0.532335894,Y70
NF83,0.578571429,0.526535319,0.929938372,0.520547945,0.719769674,0.772556391,0.670103093,0.14516129,0.736713001,0.617021277,0.895463965,80000,830000,30s,0.64658016,Y70
NF84,0.169354839,0.552362197,0.815066379,0.532751092,0.682042834,0.377922078,0.535714286,0.076086957,0.385747483,0.416666667,0.874492961,80000,840000,29s,0.492564343,Y70
NF85,0.193548387,0.581057545,0.819697437,0.541484716,0.700164745,0.380519481,0.578571429,0.076086957,0.383036406,0.479166667,0.905989024,80000,850000,29s,0.512665708,Y70
NF86,0.198924731,0.603544999,0.86775483,0.566666667,0.845665962,0.388254486,1,0.179487179,0.417814961,0.5,0.908999749,80000,860000,32s,0.588828506,Y70
NF87,0.241935484,0.76375602,0.891072618,0.716666667,0.803382664,0.460032626,0.879518072,0.179487179,0.462106299,0.53125,0.974429682,80000,870000,32s,0.627603392,Y70
NF88,0.149193548,0.629107174,0.886075949,0.493449782,0.520593081,0.296103896,0.292857143,0.076086957,0.312548412,0.333333333,0.933905989,80000,880000,29s,0.44756866,Y70
